idx,Geostat_Mu_K,Geostat_Mu_Ss,Geostat_Rho,Model_Type,Phys_Perc_Backbone,Phys_Perc_Betti0,Phys_Perc_ClusterSize,Phys_Info_Entropy,Phys_Info_Div,Phys_Morph_Lacunarity,Phys_Morph_Perimeter,Target_K_eff,Target_LogTau_q,Target_LogTau_h,DPL_a1,DPL_a2,DPL_b0
0,-11.511462674659429,-7.813129391786742,-0.543724786180562,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.00023513523009767936,1.0931791022561477,1.7380617841412103,12.393075693513481,11.581090392610527,-0.00023513523009767936
1,-7.229729494981386,-5.38098638133344,-0.739337485233615,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.013797588856232567,1.125626887962579,1.7467901396850747,13.354477107685168,11.427698573010233,-0.013797588856232567
2,-9.033471719695438,-9.870428603343587,0.7479197104744622,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0003619752324197409,0.9868173523654867,1.7684574574549132,9.701018937199681,6.0692759341559634,-0.0003619752324197409
3,-8.332231760218551,-9.34575047097127,-0.36519108121361754,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0007640049010710788,0.7431575103076935,1.2452643529642564,5.535508351214097,2.6733648285207585,-0.0007640049010710788
4,-2.332812724710566,-9.29053812647236,-0.44957196423341217,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.16526164824338863,0.9373316274832856,1.130297273592316,8.656286609498917,4.549046522140089,-0.16526164824338863
5,-7.820807300122662,-9.545128034955825,-0.2355744834112513,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0014809695159170313,0.9906208131878124,1.6826775994485348,9.786351562385198,8.152637652401792,-0.0014809695159170313
6,-9.847668671235379,-8.688318474590433,0.38057947206202947,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0032698834367738345,1.0449243244471895,1.7504082989223666,11.0898155905444,9.164760207433046,-0.0032698834367738345
7,-9.885248956116747,-7.481013586553155,0.04562694985253857,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0010397667010535567,1.011352270638087,1.7282538809364636,10.264842039967293,9.800380572585976,-0.0010397667010535567
8,-9.517017113665597,-5.839659413635701,0.7711661891689359,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.002760105298858416,1.0076498062097337,1.7262642739305343,10.17770376924679,9.096368976853231,-0.002760105298858416
9,-6.10854452690046,-4.410585299548875,-0.07111184772479207,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.046119211381684073,0.968141214461406,1.7621261973471523,9.2926849703796,6.297458532461567,-0.046119211381684073
10,-6.643361856454739,-7.304883793004294,-0.7234082262986061,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.004107448399746514,0.9587080121383322,1.7285325885219316,9.093017190695583,5.927910286919438,-0.004107448399746514
11,-4.5742804060670625,-5.242374660405578,-0.2576153541419497,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.04790038512025504,0.9309592322747343,1.6078352918394883,8.530200362818537,5.157465953910394,-0.04790038512025504
12,-7.073794593131643,-4.482173420509277,0.22615988806061327,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.005788010065386076,0.9846015415789644,1.7248859338714466,9.651649488346774,7.000229711853071,-0.005788010065386076
13,-11.157871280261519,-5.138324339255391,0.5039333770843692,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0018439203741288939,1.1419058182100428,1.7739360006811185,13.864551274104933,13.703912839289664,-0.0018439203741288939
14,-9.962609660300904,-4.124821717553834,-0.26074372934484813,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.003448543419383938,1.497541139338655,1.9890171663785332,31.444242674880144,62.645728025114884,-0.003448543419383938
15,-11.277115405735909,-4.109014109464983,0.13955781478351792,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.001262241399125852,1.413783706951564,1.9007635345540392,25.928876964747584,46.87446239506362,-0.001262241399125852
16,-5.5313827976488845,-9.808280991880862,-0.9294901934773043,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0019603467655559307,0.7475434238534694,1.1646223356129652,5.591694345155777,3.030067799587681,-0.0019603467655559307
17,-4.505731003911055,-7.212401078865891,0.21772011414620418,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.01140707125262331,0.8680093001346219,1.4247753173435016,7.379200320387356,4.0765270887183185,-0.01140707125262331
18,-10.414625913593536,-9.278098055999132,0.6960480967529348,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.00022631048062275166,0.953474952072209,1.635141222941825,8.984107752483046,6.00642645638444,-0.00022631048062275166
19,-2.90425778007058,-5.1832900660717645,-0.7661828601577421,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.6407209912024545,0.930440643116269,1.630204631042401,8.520020566572864,5.877554246279099,-0.6407209912024545
20,-5.013858669563039,-4.068087508143083,-0.2824769062018786,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.05863947227947292,0.9560229569019547,1.71697499221669,9.036972420949981,5.745266437183687,-0.05863947227947292
21,-11.687151396240733,-4.0967527559717976,-0.9954228660227163,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0006771706718859742,1.2309878056600156,1.6152838986233864,17.02110714998954,16.533590341880153,-0.0006771706718859742
22,-4.063569907181494,-5.323571854097176,-0.8833756150383809,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.07396146037054942,0.9062942120100433,1.4472559573997916,8.059242282154576,5.3969181735791665,-0.07396146037054942
23,-4.315536901405213,-5.437635089331044,0.756701507432167,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.01899697351887378,0.953396820481324,1.6764192321997864,8.982491615223536,5.94668923657138,-0.01899697351887378
24,-10.206271591725733,-6.326302723702145,0.3784075095260824,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0018905605050157008,1.039810422728163,1.6976820421286638,10.959996683436943,9.100094557788253,-0.0018905605050157008
25,-8.623177156201635,-9.689200696204688,0.45186834017832145,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0008463993345821401,0.9491168703715456,1.8818327703508038,8.894404376131392,5.680207926014805,-0.0008463993345821401
26,-9.85763398424211,-9.382343153182019,0.7425347586195916,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.00022289854957882794,0.9623700004280187,1.7113042503062175,9.170014036179957,6.325991341253203,-0.00022289854957882794
27,-7.008095043549934,-8.53252766919176,0.45671370457418337,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.005306829115184317,0.9573494077014905,1.843398436809432,9.06461593091523,5.690451039058328,-0.005306829115184317
28,-4.8751579326041945,-7.299171753035909,0.48730202870389405,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.007360671630651787,0.9176107916044968,1.3506987259428365,8.272005063730392,4.420648241683899,-0.007360671630651787
29,-2.2802397369592367,-5.678771394354935,-0.8078065596053572,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.05934937123812427,0.87645121878845,1.6901915901918603,7.52404213211001,4.106369763626424,-0.05934937123812427
30,-9.921251047437371,-7.732721229970215,-0.08096937004236082,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.00041275134666265636,1.0290157637688373,1.7435543226411356,10.69093683859936,8.698437622109662,-0.00041275134666265636
31,-5.680003601223571,-4.684249765543687,-0.8177921626974252,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0264292158359446,0.9673801250096489,1.7302825121158436,9.27641405011117,5.841178868696215,-0.0264292158359446
32,-6.096967108240039,-7.646753113577498,-0.5401567673154448,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.005955982985373157,1.0283295540871764,1.6961470090487065,10.674057896088785,8.411740188679161,-0.005955982985373157
33,-7.804932789514718,-9.788032166537667,-0.05369473334580044,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0018195125350307596,0.8663351943561135,1.567931356128394,7.350809947266259,3.8517641789465387,-0.0018195125350307596
34,-2.26037480679328,-4.271054188883237,0.8872514956702569,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.5573965593901061,0.9371575562316747,1.8099633079267645,8.652817745002055,5.51528258947882,-0.5573965593901061
35,-6.145727907732101,-7.286692898728196,-0.4176913183531896,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0012208507463973613,1.0361842022075076,1.7396721054244395,10.868865192823398,8.584931995435804,-0.0012208507463973613
36,-4.695843443832249,-8.8880055351867,-0.2795620920617701,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.014181213908128534,0.7188677836562453,1.142865134578237,5.234410562543827,2.5484169291367627,-0.014181213908128534
